id,code_id,nom,descriptif,annee_labellisation,adresse,code_postal,ville,departement,region,latitude,longitude,site_web,facebook,twitter,instagram,dailymotion,tags
1,MHR_32_JR0001,La ferme du Mont des Récollets,"Le jardin, créé dans les années 1990, prend son inspiration dans ce que peut représenter ou être un jardin et son environnement dans la Flandre. La retranscription a été d'autant de ""chambres extérieures"" qui pourraient entrer dans l'esprit d'un jardin flamand. En périphérie du jardin, la quasi-totalité des espèces plantées est régionale se retrouvant à l'état spontané dans la nature. Nous laissons prospérer les espèces en liberté dans un but de redécouverte de nos écosystèmes: ainsi se sont installées cardères, cardamines et véroniques des prés, jacinthes des bois, orchidées sauvages... La dominante arbustive plantée est noisetier, érable, viorne, fusain, aubépine et prunellier. Au coeur même du jardin : inspiration de 3 styles de jardins propres à la Flandre: jardin de la Renaissance flamande, jardin traditionnel (XIXe, début XXe) et jardin contemporain",2006,1936 route de Steenvoorde,59670,Cassel,Nord,Hauts-de-France,50.80243057,2.505012229,https://www.parcsetjardins.fr/jardins/626-jardins-du-mont-des-recollets,,,,,jardin-prive|jardin-contemporain|jardin-vivrier
2,MHR_32_JR0002,Le manoir aux Loups,Ballade champêtre sur les pentes SUD d'un site vallonné à la découverte d'une collection de conifères et de feuillus qui viennent des 5 continents. 1h30 de visite dans un cadre apaisant et ressourçant. Intérêt botanique et pédagogique le tout empreint de beaucoup de beauté et de sérénité.,2004,300 route de Neuville,59250,Halluin,Nord,Hauts-de-France,50.76974222,3.140888214,http://www.parcmanoirauxloups.fr,,,,,jardin-prive|parc-paysager|jardin-de-collection
3,MHR_32_JR0008,Jardin botanique du beau Pays,"Jardin avec des nivellements artificiels, ayant des vues très lointaines sur la campagne environnante composée de collections botaniques (2000 taxons), agrémenté de bassin, de dallages en briques , des jardins de gravier , une serre australienne, un salon de thé ainsi qu'une pépinière de plantes vertes (spécialité de pulmonaria).",2015,3091 Avenue F. Mitterrand,62730,Marck,Pas-de-Calais,Hauts-de-France,50.95,1.99,http://www.jardindubeaupays.fr,,,,,jardin-prive|jardin-contemporain|parc-paysager|jardin-de-collection
4,MHR_32_JR0014,Potager des Princes,"Tout au long des 2,5 hectares de visite, les promeneurs découvrent des fabriques de treillages, des cascades, un musée de jardins ainsi que cette année, de nombreux animaux en plus de ceux déjà exposés au Musée Vivant de la Basse Cour Naine créé en 2013 au sein du parc. Le Potager des Princes devient cette année un véritable parc animalier pour le plus grand plaisir des familles.",2005,17 rue de la Faisanderie,60500,Chantilly,Oise,Hauts-de-France,49.1957301,2.475610524,http://www.potagerdesprinces.com,,,https://www.instagram.com/potagerdesprinces/,,monument-historique|jardin-prive|jardin-regulier|jardin-vivrier
5,MHR_32_JR0015,Jardin et parc du château de Compiègne,"Le parc du château de Compiègne offre une composition harmonieuse et originale dans un riche environnement patrimonial. Berceau de verdure, offrant une riche floraison printanière, ainsi que des végétaux remarquables (un hêtre pourpre planté sous Napoléon III), le parc du château de Compiègne est un site riche et incontournable pour les passionnés d’horticulture.",2004,place du Général De Gaulle,60200,Compiègne,Oise,Hauts-de-France,49.41929542,2.831188291,http://www.musee-chateau-compiegne.fr,,,,,monument-historique|protection-site|musee-de-france|parc-paysager|jardin-regulier|jardin-public
6,MHR_32_JR0022,Jardin des Plantes,"Ce jardin dont l'origine remonte au XIIIe siècle est l'un des plus anciens de France. Jardin botanique, créé au XVIIIe siècle par Dom Robbe, prieur du couvent des Feuillants. Jardin régulier, où les buis dessinent les plates-bandes, serre Napoléon III, collection de plantes remarquables.",2015,60 boulevard du Jardin des Plantes,80000,Amiens,Somme,Hauts-de-France,49.90155962,2.296431586,http://www.amiens-tourisme.fr,,,,,jardin-regulier|jardin-de-collection|jardin-public
7,MHR_32_JR0029,Jardin du Brûle,"Le jardin du Brule est un havre de paix en bord de rivière. L’eau y est omniprésente alternant ruisseau, cascade et étang pour le plaisir des visiteurs. Découvrez une végétation abondante entremêlée d’hortensias, d’asters, de dahlias et de rudbeckias puis on arrive au verger qui nous conduit sur une collection de vivaces multiples et variées sans oublier les rosiers puis le potager avec sa collection de tomates anciennes et légumes sans oublier le petit vignoble.",2018,7 rue Roger Froissart,60112,Herchies,Oise,Hauts-de-France,49.29181,2.00418,https://jardindubrule.jimdo.com/,,,https://www.instagram.com/jardindubrule/,,jardin-prive|parc-paysager
8,MHR_32_JR0030,Jardin du Moulin Ventin,"Né d'une passion pour la nature, le jardin est une succession de massifs à l'anglaise où se cotoient arbres d'exception, arbuste, vivaces, graminées, plantes aquatiques, rosiers choisies pour floraisons, odeurs, feuillages, couleurs d'automne et originalité autour d'un moulin à eau du XIXe siècle et sa roue restaurée à l'identique. L'eau est partout présente en cascades, bassins, étangs et chemin d'eau. Le jardin offre un lieu de promenade en toutes saisons et évolue constamment. Au détour des allées de buis et de charmilles, poteries, statues, bancs, pergolas, gloriette complètent le décor.",2018,chemin du Moulin,60120,Paillart,Oise,Hauts-de-France,49.65756,2.27252,http://jardinmoulinventin-deblock.jimdo.fr/,http://fr-fr.facebook.com/,,,,jardin-prive|jardin-contemporain|parc-paysager|jardin-de-collection
9,MHR_27_JR0011,Jardin des cinq roses,"Le jardin des 5 Roses surmonte l'emplacement d'anciens remparts médiévaux, témoignages de la citadelle de Talant. Les massifs de roses encadrant le jardin dialoguent avec les bâtiments datant du XIIIe, XVIIe, XVIIIe, XXe et XXIe siècles. L'un de ces massifs accueille la rose Alix de Vergy, du nom de la seconde épouse du Duc de Bourgogne Eudes III. Un chemin d'eau coule en direction du paysage, invitant à la promenade... 
 Une prolongation de ces Rendez-Vous aux Jardins sera proposée les samedis 8 juin (de 15h à 16h) et 15 juin (de 15h à 16h) par une présentation du Jardin des 5 Roses par l'un de ses créateurs, le paysagiste Vincent Mayot. Places limitées.",2011,1 place de l'Hôtel de Ville,21240,Talant,Côte-d'Or,Bourgogne - Franche-Comté,47.33960563,4.972401112,,,,,,jardin-contemporain|jardin-public
10,MHR_27_JR0015,Parc du moulin à tan et serres de collections tropicales,"Ce parc magnifique, avec son moulin, comporte une succession de scènes paysagères à vocations différentes. Vous y découvrirez l'Arboretum, l'enclos animalier, une roseraie ""sauvage"" riche en rosiers botaniques, des aires de jeux d'enfants ainsi qu'une collection d'oiseaux aquatiques.
 Au cours de cette promenade ombragée entre les cours d'eau de la Vanne et de la Lingue, s'illustrera l'univers des plantes de sous-bois, au travers de collections végétales thématiques (couvre-sols, fougères, arbustes, allée de senteurs). De nouvelles collections végétales (hêtre, bouleau) viennent enrichir ce joyau du patrimoine sénonais.
 Un site d'observation présente toute la faune locale, un rucher.
 Des serres de collection tropicales présentent sur 600 m² un parcours dépaysant au cours duquel vous croiserez la célèbre Victoria cruziana, des orchidées dans un jardin d'Hiver, des cactées et autres plantes épiphytes.",2011,28 chemin de Babie,89100,Sens,Yonne,Bourgogne - Franche-Comté,48.18588184,3.278228045,https://www.tourisme-sens.com/visite-musee/parc-du-moulin-a-tan-et-serres-de-collections-tropicales/,,,,,jardin-contemporain|parc-paysager|jardin-de-collection|jardin-public
11,MHR_27_JR0016,Parc du château de Thorigny,"Ce jardin aménagé par André Le Nôtre au XVIIe siècle a été remodelé par Pierre Carlier après 1843. Ses descendants, au fil du temps, ont mis en valeur le parc. Le jardin présente des éléments remarquables : pont, cascade, cours d'eau, plan d'eau et des éléments végétaux : arbres d'alignement (tilleuls)...",2006,3 rue de la Division Leclerc,89260,Thorigny-sur-Oreuse,Yonne,Bourgogne - Franche-Comté,48.29261081,3.402639627,http://www.amisdethorigny.com,,,,,monument-historique|jardin-prive|jardin-regulier
12,MHR_27_JR0023,Atelier Jardin,"Situé en petite montagne jurassienne, l’Atelier Jardin vous invite à une promenade à travers l’art et la culture dans ses différentes chambres de verdure inspirées par quelques régions du monde. C’est dans ce jardin intimiste, mariant végétal et minéral, arbres taillés et arbres sculptés, arbustes et vivaces, bulbes et graminées, que le visiteur trouvera la détente et la sérénité.",2011,route de Cousance,39270,Cressia,Jura,Bourgogne - Franche-Comté,46.529771,5.477024,https://atelierjardin39.wordpress.com/,,,,,jardin-prive|jardin-contemporain|parc-paysager|jardin-regulier
13,MHR_27_JR0026,Parc et potager du château de Montigny-sur-Aube,"Riche de huit siècles d’histoire, le château de Montigny-sur-Aube, au nord de la Bourgogne, s’élève au milieu d’un parc de 4 hectares. La réhabilitation des vergers a fait l’objet d’une étude préliminaire approfondie associant Éric Pallot, architecte en chef des Monuments historiques, Marc Lechien, architecte paysager en charge des parcs et jardins de Champagne-Ardenne, et Marie-France Menage-Small, propriétaire du château. Le but recherché est le renouveau d’une vitrine du savoir-faire des jardiniers du XIXe siècle, au travers de l’aboutissement des techniques en vogue telles espalier ou greffe. Une ouverture au public, en particulier aux groupes scolaires, mais aussi la création d’un lieu d’apprentissage et de transmission de savoirs en partenariat avec une institution spécialisée de formation, sont en cours.",2015,2 rue de l’Église,21520,Montigny-sur-Aube,Côte-d'Or,Bourgogne - Franche-Comté,47.9528,4.7785,https://www.chateaudemontigny.com,https://www.facebook.com/chateaumontignysuraube,,https://www.instagram.com/chateaumontigny/,,monument-historique|jardin-prive|parc-paysager|jardin-vivrier
14,MHR_27_JR0028,Jardin potager du château de Digoine,"Situé en plein coeur du Charolais en Bourgogne du Sud, le château de Digoine est entouré par un grand parc paysager de 40 hectares comprenant un étang, un jardin à la française avec une serre datant de 1830, des orangers et des palmiers en caisses. Une restauration des jardins est en cours : collection de vivaces disposés en mix border, un verger et un potager dans l'esprit du XVIIIe siècle, une collection de plantes méditerranéennes dans la serre, des broderies de buis et topiaires d'ifs dernièrement restaurées... La grotte du XVIIIe siècle, longtemps laissée à l'abandon, a également fait l'objet d'une restauration. 2000 rosiers ont enrichit le jardin français face à la serre, constituant l'une des plus grandes roseraies de Bourgogne.",2006,route de Digoine,71430,Palinges,Saône-et-Loire,Bourgogne - Franche-Comté,46.3156,4.1246,http://chateaudedigoine.fr,,,https://www.instagram.com/domaine_chateau_de_digoine/,,monument-historique|jardin-prive|parc-paysager|jardin-regulier|jardin-vivrier
15,MHR_84_JR0002,Verger de Déduit,"Jardin contemporain d’inspiration médiévale. Jardin clos de murs en pierre sèche né du mariage entre l’imaginaire pictural de la collection de tapisseries ""le Bestiaire Fantastique"" et l’imaginaire littéraire ""le roman de la rose"". Le visiteur viendra à la rencontre du propriétaire Déduit et poursuivra son chemin en traversant des enclos successifs qui le conduiront à une fontaine où il apercevra le reflet de la rose.",2006,Château de la Trémolière,15380,Anglards-de-Salers,Cantal,Auvergne-Rhône-Alpes,45.2067,2.442278,,https://www.facebook.com/chateauTremoliere,,,,jardin-prive|jardin-contemporain|jardin-inspiration-medievale
16,MHR_84_JR0004,Parc du château Blanzat,"Ce jardin, en cours de restauration, entoure une maison du XVIIIe siècle. Vous pourrez contempler la création récente d'un théâtre de verdure, de massifs, d'allées, etc., en harmonie avec les éléments architecturaux.",2006,"256, rue de la Libération",63112,Blanzat,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.82709846,3.074079752,,,,,,monument-historique|jardin-prive|parc-paysager|jardin-regulier
17,MHR_84_JR0013,Roseraie de Berty,"Créé en 1984 par Eléonore Cruse, ce jardin de 7000 m² met en scène plus de 700 variétés anciennes de roses dans une vallée reculée autour d'une bâtisse du XVIIe siècle. Ne subissant aucun traitement, cette roseraie unit culture et nature le long d'une petite rivière. Ouvert en mai et juin (voir site internet) et sur RV pour les groupes.",2011,Largentière,7110,Largentière,Ardèche,Auvergne-Rhône-Alpes,44.55081398,4.253001139,http://www.roseraie-de-berty.com,https://www.facebook.com/RoseraieDeBerty/,,,,jardin-prive|jardin-contemporain|jardin-de-collection
18,MHR_84_JR0022,La Jaÿsinia,"Ce jardin botanique alpin créé en 1906 est sculpté sur le flanc montagneux et domine Samoëns. 5000 plantes représentant 2500 espèces de la flore de montagne provenant des 5 continents sont mises en scène dans un décor romantique. Petit ruisseau, cascades et sentiers en lacet traversent différents milieux naturels. Le jardin est doté d'un laboratoire de recherche. Fermé en période hivernale.",2004,Station d'écologie végétale,74340,Samoëns,Haute-Savoie,Auvergne-Rhône-Alpes,46.08378008,6.725794673,https://www.mnhn.fr/fr/visitez/lieux/jardin-alpin-jaysinia,,,,,monument-historique|jardin-regulier|jardin-de-collection|jardin-public
19,MHR_84_JR0024,Jardin du musée Hébert,"Composition de jardins des XVIIIe, XIXe et XXe siècles. Jardin à l'anglaise et jardin régulier de 2 hectares, l'ensemble a su conserver le charme d'un jardin d'artiste peintre. Ouverture toute l'année.",2004,chemin Hébert,38700,La Tronche,Isère,Auvergne-Rhône-Alpes,45.205762,5.751556,http://www.musee-hebert.fr,https://www.facebook.com/museehebert/,,https://www.instagram.com/museehebert/,,maison-des-illustres|musee-de-france|parc-paysager|jardin-regulier|jardin-public
20,MHR_84_JR0027,Parc du domaine de Vizille,"Le parc du château de Vizille, installé dans la vallée de la Romanche a été conçu au XVIIe siècle comme un jardin de plaisir par le duc de Lesdiguières. Ponctué par un canal courbe terminé par une cascade et de nombreux ruisseaux et canaux, le domaine de 100 hectares offre à la visite une roseraie, un carré de senteurs (aromatiques) et au-delà un parc à l'anglaise de quarante hectares, aux essences végétales, variées s'organise autour de grands mails de platanes qui délimitent prairies et clairières. Roseraie, parterre contemporain d'inspiration Renaissance, parvis minéral et salle de Verdure. Un parc animalier de soixante deux hectares occupe le fond de la vallée. Parc protégé au titre des monuments historiques, classement 23.08.1991. Ouvert toute l'année.",2006,place du Château,38220,Vizille,Isère,Auvergne-Rhône-Alpes,45.07532667,5.772754177,http://www.domaine-vizille.fr,https://www.facebook.com/DomaineVizille/,,https://www.instagram.com/domainedevizille/,,monument-historique|musee-de-france|parc-paysager|jardin-regulier|jardin-public
21,MHR_76_JR0007,Jardin du Mas de l'Abri,"Le relief naturel de ce petit vallon autour du vieux mas permet toutes les audaces : ici invitation des rosiers s'élevant en arceau ; là rêverie sur le vieux banc près du bassin de plantes aquatiques ; partout découvertes imprévues de petits coins intimes dans une profusion de fleurs sous l'œil du ""mont Lozère"", majestueux.",2004,Mas de l'Abri Sous Ponteils,30450,Ponteils-et-Bresis,Gard,Occitanie,44.40332,3.975765,https://www.gardenvisit.com/gardens/mas_de_abri,,,,,jardin-prive|jardin-contemporain|jardin-de-collection
22,MHR_76_JR0009,Jardin des Oules,"Créé à la fin du XIXe siècle et abandonné pendant une cinquantaine d’années, ce jardin a été restauré : Emmanuel de Sauveboeuf, paysagiste, a conçu l’architecture végétale du parc, a dessiné le plan et créé un labyrinthe planté d’oliviers pyramidaux. Frédéric Sichet, architecte-paysagiste, a créé le théâtre de verdure qui a reçu le ""Prix du théâtre de verdure"" en 2014.
 Le labyrinthe est planté de 1200 oliviers pyramidaux (en haies) et le système hydraulique a été rénové : rivière serpentine, bassins et grottes caractéristique de la deuxième partie du XIXe siècle.
 Dépliant en français, anglais, allemand, espagnol, italien, néerlandais, japonais, russe, chinois. Accueil en anglais.",2015,Place du château,30700,Saint-Victor des Oules,Gard,Occitanie,44.03,4.48,http://www.lejardindesoules.com,https://www.facebook.com/lejardindesoules/,,https://www.instagram.com/jardindesoules/,,jardin-prive|jardin-contemporain
